
#File completely rewritten, updated, & reworked by Math August 2019.
#Draiocht then made some further alterations for 12.0 in September.
#Credit all around, at this point, about 10 different people have contributed something or other, and many quite a lot, including especially Math, Draiocht, and Arga.


######Americas######

#Caribbean
481 = "Bermudes"					#Bermuda. Notes
7140 = "Bouthrote"						#Butrint. Notes
7141 = "Girocastre"						#Gjirokaster. Notes
7142 = "Koritze"						#Korce. Notes
7143 = "Myzèque"						#Fier. Notes
7152 = "Orménio"						#Ormenio. Notes
7156 = "Sélymne"						#SlivenKarnobatLozonets. Notes
7159 = "Roussé"							#ChervenRuse
7163 = "Malvoisie"						#Monemvasia. Notes
7721 = "Trébigne"						#Trebinje. Notes
7734 = "Sègne"							#Senj. Notes

#Poland
254 = "Posnanie"					#Poznan. Notes
257 = "Varsovie"					#Warszawa. Notes
262 = "Cracovie"					#Krakow. Notes
2960 = "Nouvelle-Sadec"					#Sadecki. Notes

#Carpathians
268 = "Botosanie"					#Moldavia. Notes
1756 = "Bessarabie"						#Budjak. Notes
2405 = "Orhéi"							#Bendery. Notes
3051 = "Pays-de-Châteaux"				#Burgenland. Notes
3156 = "Sucève"							#Suceava. Notes
3157 = "Bacovie"						#Bacau. Notes
4529 = "Jassy"							#Iasi. Notes
4530 = "Barlade"						#Birlad. Notes
7274 = "Bucovine"						#Bukovina. Notes
7275 = "Khotine"						#Khotyn. Notes
7276 = "Fochanie"						#Focsani. Notes
7277 = "Tighine"						#Bender. Notes
7278 = "Moncastre"						#Moncastro. Notes

#Ruthenia
281 = "Podolie"						#Kamienec. Notes
1942 = "Jitomière" 						#Zhytomyr. Notes - or "Jitomir"
3239 = "Ploskivie"						#Zaslav. Notes
7208 = "Medjibourg"						#Medzhybizh. Notes
7254 = "Ouchitsie"						#Ushytsia. Notes
7272 = "Zalissie"						#Zalishchysky. Notes

#Pontic steppe
284 = "Taphres"						#Crimea. Notes
2410 = "Dorie"							#Theodoro. Notes
3244 = "Solcate"						#Qirim. Notes
3245 = "Panticapée"						#Kerch. Notes
7190 = "Symbolon"						#Cembalo. Notes
7191 = "Eupatorie"						#Guzliev. Notes
7192 = "Sourkhat"						#Solkhat. Notes
7193 = "Ichkie"							#Ichki. Notes

#Baltic
41 = "Königsberg"					#Konigsberg. Notes
42 = "Varmie"						#Warmia. Notes
43 = "Dantzig"						#Danzig. Notes
1841 = "Marienbourg"					#Marienburg. Notes
1859 = "Turonie"						#Torun. Notes
7831 = "Ortelsbourg"					#Ortelsburg. Notes
7833 = "Sambie"							#Sambia. Notes

#Russia
295 = "Moscou"						#Moskva. Notes

######Africa######

#West and Central Africa
1096 = "Cap-Vert"						#Cape Verde. Notes
1098 = "Sainte-Hélène"					#St. Helena. Notes
1111 = "Port-Étienne"					#Arguin. Notes
1112 = "Portendie"						#Trarza. Notes
1113 = "Saint-Louis"					#Cayor. Notes
1114 = "Gabou"							#Gabu. Notes
1116 = "Linguéré"						#Wolof. Notes
1118 = "Serrelione"						#Sierra Leone. Notes
1119 = "Côte du Poivre"					#Grain Coast. Notes
1120 = "Bambouk"						#Bambuk. Notes
1126 = "Côte d'Ivoire"					#Ivory Coast. Notes
1138 = "Coumassie"						#Kumasi. Notes
1139 = "Côte de l'Or"					#Gold Coast. Notes
1140 = "Ardres"							#Abomey. Notes
1141 = "Juda"							#Whydah. Notes
1147 = "Bénin"							#Benin. Notes
1164 = "Cameroun"						#Cameroon. Notes
1306 = "Saint-Thomas"					#Sao Tomel. Notes
2237 = "Tékrour"						#Tekrur. Notes
2239 = "Saint-Jacques"					#Siine. Notes
2241 = "Guinée"							#Beafada. Notes
2242 = "Carou"							#Karou. Notes
2258 = "Fort Saint-Antoine"				#Cape Coast. Notes
2290 = "Côte des Esclaves"				#Ijebu. Notes
2291 = "Kétou"							#Ketu. Notes

#Kongo
1166 = "Louango"						#Loango. Notes
1170 = "Congo"							#Kongo. Notes
4079 = "Pointe-Noire"					#Ngoyo. Notes

#Southern Africa
1174 = "Baie des Baleines"				#Walvis Bay

#Egypt
358 = "Alexandrie"					#Alexandria. Notes
359 = "Fayoum"						#Faiyum. Notes
361 = "Le Caire"					#Cairo. Notes
362 = "Rosette"						#Rosetta. Notes
363 = "Péluse"						#Damietta. Notes
1231 = "Assouan"						#Aswan. Notes - or "Syène"
2319 = "Assiout"						#Manfalut. Notes
4319 = "Louxor"							#Isna. Notes
5261 = "Damiette"						#Damietta2. Notes
5264 = "Guizèh"							#Giza. Notes
5271 = "Bérénice"						#Baranis. Notes

#Maghreb
334 = "Tanger"						#Tangiers. Notes
335 = "Mélille"						#Mellila. Notes
338 = "Alger"						#Al-Djazair. Notes
339 = "Bougie" 						#Bejaia. Notes
343 = "Fès"							#Fez. Notes
344 = "Maroc"						#Marrakech. Notes
345 = "Saffie"						#Safi. Notes
346 = "Tafilalet"					#Figuig. Notes
349 = "Figue"						#Atlas. Notes
352 = "Capre" 						#Gafsa. Notes - inspired by the old Latin name
353 = "Médenine"					#Gabes. Notes
355 = "Syrte" 						#Sirt. Notes
357 = "Derne"						#Darnah. Notes
1127 = "Touet"							#Tuat. Notes
1751 = "Ceute" 							#Ceuta. Notes - or "Sept-Frères"
1882 = "Bône" 							#Bone. Notes
2326 = "Tobrouk" 						#Bardiyah. Notes
2452 = "Zouara"							#Zuwarah. Notes
2459 = "Médéa"							#Titteri. Notes
2461 = "Mostagan"						#Dahra. Notes
2466 = "Dras"							#Draa. Notes				
2467 = "Meknès"							#Meknes. Notes
2468 = "Khénifra"						#Tadla. Notes
2469 = "Mazagan"						#Dukkala. Notes
2473 = "Sousse"							#Souss. Notes
4562 = "Nemours"						#Mers el Kebir. Notes
5211 = "Tadela"							#Tadla. Notes
5212 = "Taradante"						#Souss. Notes
5213 = "Teza"							#Taza. Notes	
5222 = "Tabelbert"						#Talbalbala. Notes
5224 = "Cap Bon"						#CapeBon. Notes
5225 = "Afrique"						#Mahdia. Notes
5228 = "Ifrenet"						#Sidiifni. Notes
5310 = "Nalout" 						#Nalut. Notes
5312 = "Gabès"							#Gabes. Notes
5313 = "Kasserine" 						#Kasserine. Notes
5315 = "Le Kef"							#El Kef. Notes
5317 = "Tabarca"						#Tabarka. Notes
5318 = "Koukou" 						#Koukou. Notes
5319 = "Sétif"							#Setif. Notes
5321 = "Gigéry"							#Jijel. Notes
5322 = "Ténès" 							#Blida. Notes
5325 = "Lambèse"						#Batna. Notes
5328 = "Géryville" 						#El Bayadh. Notes

#Sahel
2474 = "Mourzouk" 						#Murzuq. Notes	

#East Africa
1100 = "Mahé"							#Mahe. Notes
1102 = "Île de France"					#Mauritius. Notes
1192 = "Quélimane"						#Quelimane. Notes
1196 = "Quiloa"							#Kilwa. Notes
1202 = "Mombasse"						#Mombasa. Notes
1203 = "Mélinde"						#Malindi. Notes
2796 = "Paté"							#Pate. Notes
4020 = "Comores"						#Comoros. Notes																										
